year,carrier,carrier_name,airport,airport_name,security_delay,top_five
2006,CO,Continental Air Lines Inc.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",20,FALSE
2006,DL,Delta Air Lines Inc.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",42,FALSE
2006,XE,ExpressJet Airlines Inc.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",85,FALSE
2006,NW,Northwest Airlines Inc.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",17,FALSE
2006,EV,Atlantic Southeast Airlines,SAV,"Savannah, GA: Savannah/Hilton Head International",181,FALSE
2006,OH,Comair Inc.,SAV,"Savannah, GA: Savannah/Hilton Head International",31,FALSE
2006,DL,Delta Air Lines Inc.,SAV,"Savannah, GA: Savannah/Hilton Head International",36,FALSE
2006,XE,ExpressJet Airlines Inc.,SAV,"Savannah, GA: Savannah/Hilton Head International",264,FALSE
2006,YV,Mesa Airlines Inc.,SAV,"Savannah, GA: Savannah/Hilton Head International",55,FALSE
2006,AS,Alaska Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",3450,FALSE
2006,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",148,FALSE
2006,CO,Continental Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",951,FALSE
2006,DL,Delta Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",60,FALSE
2006,B6,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",7,FALSE
2006,NW,Northwest Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",20,FALSE
2006,OO,SkyWest Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",145,FALSE
2006,WN,Southwest Airlines Co.,SEA,"Seattle, WA: Seattle/Tacoma International",506,FALSE
2006,US,US Airways Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",157,FALSE
2006,EV,Atlantic Southeast Airlines,SHV,"Shreveport, LA: Shreveport Regional",166,FALSE
2006,XE,ExpressJet Airlines Inc.,SHV,"Shreveport, LA: Shreveport Regional",280,FALSE
2006,EV,Atlantic Southeast Airlines,SBN,"South Bend, IN: South Bend International",30,FALSE
